书籍名称,索书号,可借复本,馆藏复本,作者或译者,地址
图书馆学辞典,G25-61/4741,0,1,杨若云主编,4排4列1层
我是最伟大的推销员,F713.1/4052,2,2,乔伊・吉拉德著;梁惠珠译,在馆徐汇科技图书阅览室
简单原子实验,O571.1/2244(2),1,1,"纳尔逊・比勒,富兰克林・勃兰莱合著",22排7列3层
实用机械计算手册,TH123-62/2748(2),1,1,出版日期：,在馆徐汇科技图书阅览室
统计热物理学之基础,:2,1,1,黄振麟译,20排6列1层
线性规画举隅,O151.2/1070(2),1,1,()Saul,在馆徐汇科技图书阅览室
化学,O6/3714(3),1,2,汤元吉主编,C130093在馆徐汇中文书库(待定)
实用机械计算手册,TH123-62/1237,1,1,张泽厚译,在馆徐汇科技图书阅览室
实用光学与光学工程,:2,1,2,张定昌译,C129534在馆徐汇中文书库(待定)
工业化学品安全手册,TQ016.1-62/7727,0,1,"邓健民,张志纯译",103排1列2层
现代图书馆学研究概论,G250/0000,3,3,方文著,50排3列2层
丛中鸟,Q959.7/4442,3,3,(英),4排5列1层
基于云计算的数字图书馆信息共享管理,G250.76/4030,3,3,李淮斌著,50排4列1层
PS魔法师,TP391.413/4442,3,3,云山虎影著,61排3列1层
中华人民共和国公共图书馆法学习问答,D922.165/5287,3,3,《中华人民共和国公共图书馆法学习问答》编,105排5列3层
秘密图书馆,G256.1-49/2427,3,3,(英),51排1列3层
计算机安全,TP309/4322,3,3,(美),31排5列3层
破茧而生,C913.11/6062,3,3,"田国秀,",88排3列3层
Mac,TP316.8/0047,1,1,(美),48排2列3层
社区设计,TU984.12/2220-1,3,3,(日),91排6列2层
